equipment,manufacturer,area_m2,capacity_kw
Cooling tower (wet),SPX Cooling Technologies,28.94,3350.0
Cooling tower (wet),SPX Cooling Technologies,24.77,3422.5
Cooling tower (wet),SPX Cooling Technologies,28.94,3444.5
Cooling tower (wet),SPX Cooling Technologies,28.94,3433.5
Cooling tower (wet),SPX Cooling Technologies,24.77,3440.1
Cooling tower (wet),SPX Cooling Technologies,26.1,3464.1
Cooling tower (wet),SPX Cooling Technologies,28.94,3503.8
Cooling tower (wet),SPX Cooling Technologies,24.77,3596.1
Cooling tower (wet),Aggreko,29.74,3517.0
Cooling tower (wet),SPX Cooling Technologies,24.77,3668.6
Cooling tower (wet),SPX Cooling Technologies,28.94,3666.5
Cooling tower (wet),SPX Cooling Technologies,24.77,3728.0
Cooling tower (wet),SPX Cooling Technologies,28.94,3743.4
Cooling tower (wet),SPX Cooling Technologies,28.94,3686.3
Cooling tower (wet),SPX Cooling Technologies,24.77,3789.6
Cooling tower (wet),SPX Cooling Technologies,24.77,3853.4
Cooling tower (wet),SPX Cooling Technologies,28.94,3868.8
Cooling tower (wet),SPX Cooling Technologies,24.77,3978.6
Cooling tower (wet),SPX Cooling Technologies,28.94,3991.8
Cooling tower (wet),SPX Cooling Technologies,24.77,4022.6
Cooling tower (wet),SPX Cooling Technologies,24.77,4121.5
Cooling tower (wet),SPX Cooling Technologies,28.94,4202.9
Cooling tower (wet),SPX Cooling Technologies,24.77,4205.0
Cooling tower (wet),SPX Cooling Technologies,28.94,4216.0
Cooling tower (wet),SPX Cooling Technologies,24.77,4361.1
Cooling tower (wet),SPX Cooling Technologies,24.77,4453.4
Cooling tower (wet),Aggreko,29.74,4396.3
Cooling tower (wet),SPX Cooling Technologies,28.94,4497.4
Cooling tower (wet),SPX Cooling Technologies,28.94,4591.9
Cooling tower (wet),SPX Cooling Technologies,24.77,4589.6
Cooling tower (wet),Delta Cooling Towers,49.13,6045.0
Cooling tower (wet),SPX Cooling Technologies,28.94,4734.8
Cooling tower (wet),SPX Cooling Technologies,24.77,4864.5
Cooling tower (wet),SPX Cooling Technologies,28.94,4972.1
Cooling tower (wet),SPX Cooling Technologies,28.94,5055.8
Cooling tower (wet),SPX Cooling Technologies,24.77,5205.1
Cooling tower (wet),SPX Cooling Technologies,28.94,5207.4
Cooling tower (wet),SPX Cooling Technologies,28.94,5398.6
Cooling tower (wet),SPX Cooling Technologies,28.94,5526.1
Cooling tower (wet),SPX Cooling Technologies,28.94,5847.0
Cooling tower (wet),SPX Cooling Technologies,62.13,5763.5
Cooling tower (wet),Delta Cooling Towers,65.31,7923.8
Cooling tower (wet),SPX Cooling Technologies,62.13,6080.0
Cooling tower (wet),SPX Cooling Technologies,28.94,6346.0
Cooling tower (wet),SPX Cooling Technologies,62.13,6550.4
Cooling tower (wet),SPX Cooling Technologies,62.13,7012.0
Cooling tower (wet),Delta Cooling Towers,81.75,9693.8
Cooling tower (wet),SPX Cooling Technologies,62.13,7420.9
