organization,system,chip,accelerator,vendor,generation,generation_order,workload,scenario,accelerators,result,per_accelerator,availability
Intel,1-node-4x-BMG-B70,Intel Arc Pro B70,Intel(R) Arc Pro(R) B70,,,-1,llama2-70b-99.9,Offline,4,2459.18,614.795,preview
Intel,1-node-4x-BMG-B60,Intel Arc Pro B60,Intel(R) Arc Pro(R) B60,,,-1,llama2-70b-99.9,Offline,4,1697.66,424.415,available
Dell,PowerEdge XE9780L (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99.9,Server,8,108392,13549,available
NVIDIA,NVIDIA DGX B300 (8x B300-SXM-270GB TensorRT),NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99.9,Server,8,107318,13414.7,available
GigaComputing,G894-SD3-AAX7,NVIDIA B300-SXM-270GB,NVIDIA B300-SXM-270GB,NVIDIA,B300,4,llama2-70b-99.9,Server,8,104623,13077.9,available
HPE,HPE ProLiant Compute XD685 (8x NVIDIA B200 180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama2-70b-99.9,Server,8,103627,12953.4,available
AMD,smci355-ccs-aus-m09-17 (AS -4126GS-NMR-LCC),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Server,8,100282,12535.3,available
Supermicro,SYS-822GS-NBRT (8x B200-SXM-180GB TensorRT),NVIDIA B200-SXM-180GB,NVIDIA B200-SXM-180GB,NVIDIA,B200,2,llama2-70b-99.9,Server,8,99304.8,12413.1,available
ORACLE,BM.GPU.MI355X.8,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Server,8,98239.1,12279.9,available
GigaComputing,G893-ZX1-AAX4,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Server,8,98157.2,12269.6,available
Supermicro,QuantaGrid D74A-7U,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Server,8,97587,12198.4,available
Dell,PowerEdge XE9785L (8x MI355X),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Server,8,96734.4,12091.8,available
NVIDIA,NVIDIA GB300 NVL72 (72x GB300-288GB_aarch64 TensorRT),NVIDIA GB300,NVIDIA GB300,NVIDIA,GB300,5,llama2-70b-99.9,Server,72,868278,12059.4,available
HPE,HPE ProLiant Compute XD685 (8x AMD Instinct MI355X 288GB vLLM),AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Server,8,95544.3,11943,available
Dell_MangoBoost,PowerEdge XE9785,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e,AMD,MI355X,4,llama2-70b-99.9,Server,8,93272.4,11659,available
AMD,AMD MI355X Custom Cluster,AMD Instinct MI355X 288GB HBM3e,AMD Instinct MI355X 288GB HBM3e (x87),AMD,MI355X,4,llama2-70b-99.9,Server,88,1.01638e+06,11549.7,available
NVIDIA,NVIDIA GB200 NVL72 (72x GB200-186GB_aarch64 TensorRT),NVIDIA GB200,NVIDIA GB200,NVIDIA,GB200,3,llama2-70b-99.9,Server,72,810104,11251.4,available
MiTAC,G8825Z5,AMD Instinct MI350X 288GB HBM3e,AMD Instinct MI350X 288GB HBM3e,AMD,MI350X,3,llama2-70b-99.9,Server,8,77377.9,9672.24,available
